Recipient Primary Major,Recipient Secondary Majors,Recipient Graduation Date,Recipient Education Level,Recipient Primary College,Recipient Gender,Recipient Ethnicity,Recipient Visa Status,Recipient Veteran Status,Recipient First Generation,Recipient Athlete Status,Recipient Hometown,Recipient Graduation Group Name,Response Primary Major,Response Secondary Majors,Response Education Level,Response Graduation Date,Response Primary College,Response Status,Response Date,Outcome,Employer Name,Employer Industry,Employment Category,Employment Type,Job Function,Job Position,Found through Handshake,Employed During Education,Internship,Continuing Education School,Continuing Education Level,Continuing Education Major,Is Fellowship?,Fellowship Name,Military Branch,Military Rank,Specialization,Still Looking Option,Not Seeking Option,Location,Offer Date,Accept Date,Start Date,Annual Salary,Pay Schedule,Bonus Amount,Other Compensation,Authorized to work in US?,Knowledge Response?,Knowledge Source,How many additional offers did you receive?,In how many different positions will you be employed?,Which of the following best describes your primary position?,Which of the following best describes your view of your primary position?,How related is this position to your degree? ,Which of the following helped you find and/or obtain this position?  (Please select ALL that apply),How many additional organizations did you volunteer with during your time at Belmont?,Did you look for full time employment before deciding to go to graduate school?,Indicate how the university you will be/are attending ranks in regard to your choice:,What type of degree or continue education credit do you plan on earning?,Which of the following best describes this position?,What types of opportunities are you looking for?,How many times did you use the services or resources of your career development office?,How many times did you use the services or resources of your career development office?,"While studying for your degree, did you do any of the following? (Please select ALL that apply)",How likely would you recommend using the services and resources available through your Career Development office to a future student?
Accounting,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-12-12 21:24:52 UTC,Working,TN Comptroller of the Treasury,"Government - Local, State & Federal",Organization,Full-Time,Accounting,Legislative Auditor,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",8/7/2019,8/7/2019,8/20/2019,51500,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Accounting,,12/28/2018,Masters,College of Business,Female,,U.S. Citizen,,,,,,Accounting,,Masters,12/1/2018,,submitted,2019-12-11 21:39:50 UTC,Working,"Carr, Riggs and Ingram, LLC",Accounting,Organization,Full-Time,Accounting,Staff Accountant,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,1/1/2019,52000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Accounting,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-12-11 21:04:06 UTC,Working,Cherry Bekaert LLP,Accounting,Organization,Full-Time,Accounting,Tax Associate,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",1/1/2018,1/1/2018,1/1/2018,52000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,Full-time job,
Accounting,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-12-12 16:54:43 UTC,Working,Wallace CPA,Accounting,Organization,Full-Time,Accounting,Tax and Advisory Associate,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,6/1/2017,52000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Accounting,,5/25/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-23 18:00:03 UTC,Working,EY,Accounting,Organization,Full-Time,Accounting,Assurance Staff,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",6/1/2018,7/1/2018,6/1/2019,53280,Annual Salary,,,,,Survey Response,3,Only 1 position,New position and a new employer / organization since graduation,,5,"Having an internship or experiential education experience with this organization during my time at Belmont, One of my professors or my academic advisor, My personal contacts (family and/or friends), A Belmont alumnus",,,,,,,,,,5
Accounting,,12/1/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,,Mathematics,Accounting,Bachelors,12/1/2018,,submitted,2018-10-11 20:24:32 UTC,Working,EY,Accounting,Organization,Full-Time,,Tax Staff,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",8/1/2018,8/1/2018,7/1/2019,54000,Annual Salary,,,,Yes,Survey Response,,,New position and a new employer / organization since graduation,,,My personal contacts (family and/or friends),,,,,,,,,,
Accounting,,3/1/2019,Masters,College of Business,Male,,U.S. Citizen,,,,,,Accounting,,Masters,3/1/2019,,submitted,2019-03-28 22:47:03 UTC,Working,LBMC,Accounting,Organization,Full-Time,Finance,Financial Analyst,,,,,,,,,,,,,,"Brentwood, Tennessee, United States of America",2/20/2019,2/20/2019,,55000,Annual Salary,,5000,TRUE,,Survey Response,1,Only 1 position,New or better position with the same employer / organization since graduation,This is a professional position that aligns with my long term career goals,4,My personal contacts (family and/or friends),,,,,,,,,Full-time job,5
Accounting,,5/2/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-05-02 18:46:00 UTC,Working,"Frazier & Deeter, LLC",Accounting,Organization,Full-Time,Accounting,Audit Associate,Yes,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",10/1/2018,10/5/2018,9/23/2019,55000,Annual Salary,0,5000,,,Survey Response,1,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my long term career goals,5,"An event, service, or direct connection supported by Belmont's Career Development Team, An online job posting and/or social media site (LinkedIn, Indeed, company websites)",,,,,,,,,Full-time job,5
Accounting,,5/15/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-03-28 20:32:19 UTC,Working,BDO,Accounting,Organization,Full-Time,Accounting,Audit Associate,Yes,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",10/15/2018,10/18/2018,10/1/2019,55000,Annual Salary,1000,3000,TRUE,,Survey Response,1,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my long term career goals,5,"Having an internship or experiential education experience with this organization during my time at Belmont, An event, service, or direct connection supported by Belmont's Career Development Team",,,,,,,,,"Part-time job, Full-time job",5
Accounting,,5/30/2019,Masters,College of Business,Male,Latino(a),U.S. Citizen,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-12-11 22:02:02 UTC,Working,HCA Healthcare,Healthcare,Organization,Full-Time,Accounting,Staff Auditor,Yes,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",10/1/2018,10/1/2018,6/1/2019,56000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Accounting,,5/21/2018,Masters,College of Business,,,U.S. Citizen,,,,"Delray Beach, Florida, United States",,Accounting,,Masters,5/1/2019,,submitted,2019-04-02 16:34:23 UTC,Working,RSM US LLP,Accounting,Organization,Full-Time,Consulting,Technology management consultant ,,,,,,,,,,,,,,"Dallas, Texas, United States of America",8/6/2018,8/17/2018,7/22/2019,57000,Annual Salary,3000,,TRUE,,Survey Response,2,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my long term career goals,4,"Having an internship or experiential education experience with this organization during my time at Belmont, My personal contacts (family and/or friends)",,,,,,,,,"Part-time job, Voluntary work (not for convocation credit)",3
